Rank,Team,Record,Points
1,Arizona,18-2,767
2,Louisville,18-1,716
3,Kentucky,18-3,699
4,Oklahoma,16-3,692
5,Florida,19-3,642
6,Texas,15-4,588
7,Pittsburgh,16-3,566
8,Duke,16-3,550
9,Notre Dame,19-4,516
10,Kansas,17-5,513
11,Marquette,17-3,459
12,Creighton,21-2,436
13,Illinois,16-4,382
14,Oklahoma State,18-3,353
15,Maryland,14-6,347
16,Xavier,17-4,285
17,Wake Forest,16-3,273
18,Syracuse,16-3,267
19,Connecticut,14-5,143
20,Mississippi State,15-5,141
21,Missouri,14-5,140
22,Georgia,13-6,114
23,California,16-4,82
24,Stanford,17-6,81
25,Purdue,15-5,63
